experiment_id,source,method,valid_runs,completed_runs,completion_rate,best_lap_time,mean_lap_time,std_lap_time,lap_time_variance,crash_count,off_track_count,mean_runtime_per_run_seconds,mean_decision_latency_ms,mean_cpu_usage,mean_memory_usage,improvement_vs_baseline_seconds,improvement_vs_baseline_percent,rank_by_mean_lap,rank_by_balanced_score
OPTUNA_DUMMY_008,optuna_dummy,optuna,3,3,1.0,156.589,158.61066666666667,0.0,0.0,0.0,0.0,0.0016,0.003793333333333334,25.0,67.8,2.4796666666666454,1.5393019651499753,1,1
OPTUNA_DUMMY_004,optuna_dummy,optuna,3,3,1.0,157.147,159.29566666666665,0.0,0.0,0.0,0.0,0.0016,0.0037233333333333333,8.333333333333334,67.7,1.7946666666666715,1.1140747117042022,2,2
OPTUNA_DUMMY_006,optuna_dummy,optuna,3,3,1.0,155.644,159.56566666666666,0.0,0.0,0.0,0.0,0.0016,0.0037633333333333334,44.449999999999996,67.72666666666667,1.5246666666666613,0.9464668891781183,3,3
OPTUNA_DUMMY_007,optuna_dummy,optuna,3,3,1.0,158.2,160.147,0.0,0.0,0.0,0.0,0.0016,0.0037766666666666665,41.666666666666664,67.77,0.943333333333328,0.5855927626528354,4,4
OPTUNA_DUMMY_003,optuna_dummy,optuna,3,3,1.0,159.619,160.47,0.0,0.0,0.0,0.0,0.0017,0.004023333333333333,5.55,67.68333333333334,0.6203333333333205,0.3850841453345973,5,5
OPTUNA_DUMMY_010,optuna_dummy,optuna,3,3,1.0,158.978,160.82233333333335,0.0,0.0,0.0,0.0,0.0016,0.00379,33.333333333333336,67.83,0.26799999999997226,0.1663662830999412,8,6
OPTUNA_DUMMY_001,optuna_dummy,optuna,3,3,1.0,158.103,160.793,0.0,0.0,0.0,0.0,0.0016666666666666668,0.004086666666666666,10.166666666666666,67.47666666666667,0.297333333333313,0.18457552801635918,6,7
OPTUNA_BEST_REPLAY,optuna_dummy_replay,optuna_replay,3,3,1.0,158.103,160.793,0.0,0.0,0.0,0.0,0.0018000000000000002,0.004073333333333333,7.933333333333334,59.84,0.297333333333313,0.18457552801635918,6,8
GRID_030,grid_dummy,grid_search,3,3,1.0,158.352,161.09033333333332,0.0,0.0,0.0,0.0,0.0017333333333333333,0.003993333333333333,17.45,17.349999999999998,0.0,0.0,9,9
GRID_040,grid_dummy,grid_search,3,3,1.0,158.352,161.09033333333332,0.0,0.0,0.0,0.0,0.0018333333333333333,0.004033333333333333,38.199999999999996,17.400000000000002,0.0,0.0,9,10
OPTUNA_DUMMY_005,optuna_dummy,optuna,3,3,1.0,160.358,162.56366666666668,0.0,0.0,0.0,0.0,0.0016333333333333332,0.003786666666666667,8.333333333333334,67.7,-1.4733333333333576,-0.9146007105744134,12,11
EXP_001,dummy,rule_based,9,9,1.0,158.352,161.09033333333332,0.0,0.0,0.0,0.0,0.0023333333333333335,0.005227777777777778,25.48888888888889,17.883333333333333,0.0,0.0,9,12
EXP_001_STRESS_002,stress_dummy,rule_based_stress,1,1,1.0,163.527,163.527,0.0,0.0,0.0,0.0,0.0017,0.00399,16.65,18.36,-2.4366666666666674,-1.5126088674884286,14,13
EXP_001_STRESS_001,stress_dummy,rule_based_stress,2,2,1.0,161.727,162.627,0.8999999999999915,0.8099999999999847,0.0,0.0,0.00215,0.00415,10.7,18.14,-1.5366666666666902,-0.9539161257348507,13,14
OPTUNA_DUMMY_002,optuna_dummy,optuna,3,3,1.0,162.858,163.88,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0040999999999999995,5.55,67.61,-2.789666666666676,-1.7317405761984535,15,15
OPTUNA_DUMMY_009,optuna_dummy,optuna,3,3,1.0,163.349,165.167,0.0,0.0,0.0,0.0,0.0016,0.0037733333333333334,72.23333333333333,67.81,-4.076666666666682,-2.5306711969060935,16,16
GRID_001,grid_dummy,grid_search,3,3,1.0,162.852,165.59033333333332,0.0,0.0,0.0,0.0,0.0017333333333333333,0.003993333333333334,4.166666666666667,17.400000000000002,-4.5,-2.7934637087679586,17,17
GRID_010,grid_dummy,grid_search,3,3,1.0,162.852,165.59033333333332,0.0,0.0,0.0,0.0,0.0017333333333333333,0.003926666666666667,14.966666666666669,17.41,-4.5,-2.7934637087679586,17,17
GRID_020,grid_dummy,grid_search,3,3,1.0,162.852,165.59033333333332,0.0,0.0,0.0,0.0,0.0017999999999999997,0.004003333333333334,3.3333333333333335,17.683333333333334,-4.5,-2.7934637087679586,17,19
