source,experiment_id,algorithm,track,target_speed,gentle_speed,brake_threshold,steer_gain,best_lap_time,average_lap_time,completion_rate,crash_count,off_track_count,damage,lap_time_variance,runtime_per_run_seconds,decision_latency_ms,cpu_usage,memory_usage,lap_time_score,crash_score,off_track_score,damage_score,runtime_score,completion_penalty,balanced_score
optuna_dummy,OPTUNA_DUMMY_008,optuna,corkscrew,81.848,35.697,0.622,0.868,156.589,158.61066666666667,1.0,0.0,0.0,0.0,4.973776222222198,0.0016,0.003793333333333333,25.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optuna_dummy,OPTUNA_DUMMY_004,optuna,corkscrew,86.649,38.185,0.536,0.873,157.147,159.29566666666665,1.0,0.0,0.0,0.0,2.3173548888888873,0.0016,0.0037233333333333333,8.333333333333334,67.7,0.09814222264673231,0.0,0.0,0.0,0.0,0.0,0.03925688905869293
optuna_dummy,OPTUNA_DUMMY_006,optuna,corkscrew,82.237,37.092,0.558,0.947,155.644,159.56566666666666,1.0,0.0,0.0,0.0,7.894714888888863,0.0016,0.0037633333333333334,44.449999999999996,67.72666666666667,0.13682601843449835,0.0,0.0,0.0,0.0,0.0,0.05473040737379934
optuna_dummy,OPTUNA_DUMMY_007,optuna,corkscrew,79.121,46.778,0.54,1.006,158.2,160.147,1.0,0.0,0.0,0.0,5.497604666666674,0.0016,0.0037766666666666665,41.666666666666664,67.77,0.2201155738096359,0.0,0.0,0.0,0.0,0.0,0.08804622952385437
optuna_dummy,OPTUNA_DUMMY_003,optuna,corkscrew,82.022,45.621,0.504,1.188,159.619,160.47,1.0,0.0,0.0,0.0,0.5185939999999973,0.0017000000000000001,0.004023333333333333,5.55,67.68333333333334,0.266392855437222,0.0,0.0,0.0,0.1363636363636364,0.0,0.12019350581125246
optuna_dummy,OPTUNA_DUMMY_010,optuna,corkscrew,76.092,36.465,0.637,0.976,158.978,160.82233333333335,1.0,0.0,0.0,0.0,5.023486888888886,0.0016,0.00379,33.333333333333336,67.83,0.31687282105162806,0.0,0.0,0.0,0.0,0.0,0.12674912842065122
optuna_dummy,OPTUNA_DUMMY_001,optuna,corkscrew,77.491,49.261,0.646,1.039,158.103,160.793,1.0,0.0,0.0,0.0,4.022610666666657,0.0016666666666666668,0.004086666666666666,10.166666666666666,67.47666666666667,0.3126701370648081,0.0,0.0,0.0,0.09090909090909094,0.0,0.13415896391683235
grid_dummy,GRID_030,grid_search,corkscrew,80.0,40.0,0.5,1.2,158.352,161.09033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0017333333333333333,0.003993333333333333,17.45,17.349999999999998,0.3552700702039237,0.0,0.0,0.0,0.18181818181818157,0.0,0.16028984626338766
grid_dummy,GRID_040,grid_search,corkscrew,80.0,45.0,0.6,0.8,158.352,161.09033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0018333333333333333,0.004033333333333333,38.199999999999996,17.400000000000002,0.3552700702039237,0.0,0.0,0.0,0.31818181818181795,0.0,0.1739262098997513
optuna_dummy,OPTUNA_DUMMY_005,optuna,corkscrew,76.085,42.871,0.586,0.916,160.358,162.56366666666668,1.0,0.0,0.0,0.0,2.500536222222211,0.0016333333333333332,0.003786666666666667,8.333333333333334,67.7,0.5663594249964203,0.0,0.0,0.0,0.04545454545454517,0.0,0.23108922454402267
dummy,EXP_001,rule_based,corkscrew,80.0,45.0,0.6,1.0,158.352,161.09033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0023333333333333335,0.005227777777777778,25.48888888888889,17.883333333333333,0.3552700702039237,0.0,0.0,0.0,1.0,0.0,0.2421080280815695
optuna_dummy,OPTUNA_DUMMY_002,optuna,corkscrew,73.12,37.34,0.512,1.146,162.858,163.88,1.0,0.0,0.0,0.0,1.0670526666666535,0.0016666666666666668,0.0040999999999999995,5.55,67.61,0.7549548689049149,0.0,0.0,0.0,0.09090909090909094,0.0,0.3110728566528751
optuna_dummy,OPTUNA_DUMMY_009,optuna,corkscrew,71.301,49.233,0.693,1.123,163.349,165.167,1.0,0.0,0.0,0.0,1.9755060000000022,0.0016,0.0037733333333333334,72.23333333333333,67.81,0.9393476288265936,0.0,0.0,0.0,0.0,0.0,0.37573905153063747
grid_dummy,GRID_001,grid_search,corkscrew,70.0,40.0,0.5,0.8,162.852,165.59033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0017333333333333333,0.003993333333333334,4.166666666666667,17.400000000000002,1.0,0.0,0.0,0.0,0.18181818181818157,0.0,0.41818181818181815
grid_dummy,GRID_010,grid_search,corkscrew,70.0,45.0,0.5,0.8,162.852,165.59033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0017333333333333333,0.003926666666666667,14.966666666666667,17.41,1.0,0.0,0.0,0.0,0.18181818181818157,0.0,0.41818181818181815
grid_dummy,GRID_020,grid_search,corkscrew,70.0,50.0,0.5,1.0,162.852,165.59033333333332,1.0,0.0,0.0,0.0,4.50893888888886,0.0018000000000000002,0.004003333333333334,3.3333333333333335,17.683333333333334,1.0,0.0,0.0,0.0,0.2727272727272728,0.0,0.4272727272727273
