experiment_id,date_time,track,agent_version,state_version,policy_version,reward_version,algorithm,run_number,seed,target_speed,steer_gain,centering_gain,brake_threshold,gentle_speed,sharp_speed,straight_speed,acceleration_limit,braking_intensity,best_lap_time,average_lap_time,completed_lap,completion_rate,crash_count,off_track_count,lap_time_variance,training_time_seconds,runtime_per_run_seconds,decision_latency_ms,cpu_usage,memory_usage,config_path,telemetry_file,notes

EXP_001,2026-08-03T22:15:23.223877+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0037,0.00755,88.2,18.89,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_1.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:15:23.227059+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,2,44,80,1.0,0.5,0.6,45,35,95,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.003,0.00701,0.0,18.91,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_2.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:15:23.230194+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,3,45,80,1.0,0.5,0.6,45,35,95,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.003,0.00716,33.35,18.91,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_3.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-03T22:55:40.965256+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0137,0.0,14.55,17.42,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T00:13:29.984333+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0133,0.0,22.25,17.33,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T00:24:27.126034+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,108.0545,0.0,15.35,17.45,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-04T01:05:05.903207+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,torcs_live,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,195.766,195.766,1,1.0,0,0,0.0,0.0,199.4782,0.04139,23.85,19.48,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_live_run_1.csv,live TORCS run
EXP_001,2026-08-05T01:48:57.630362+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,1,43,80,1.0,0.5,0.6,45,35,95,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0022,0.00439,25.45,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_1.csv,dummy run; replace simulator with live TORCS later
EXP_001,2026-08-05T01:48:57.632198+00:00,corkscrew,baseline_rule_v1,baseline_raw_v1,baseline_rule_v1,none_rule_based,rule_based,2,44,80,1.0,0.5,0.6,45,35,95,0.8,0.25,158.352,161.09033333333332,1,1.0,0,0,4.50893888888886,0.0,0.0017,0.0043,0.0,17.38,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/configs/baseline_config.yaml,/Users/thenotoriouscode/Desktop/Part_C_Experimentation/data/telemetry_logs/EXP_001_run_2.csv,dummy run; replace simulator with live TORCS later
