timestamp,speed,steering,throttle,brake,track_position,angle,rpm,gear,track_sensor_center,lap_time,event
2026-08-31T14:23:07.621545+00:00,64.204,-0.0295,0.8,0.0,0.0918,0.0138,4923,3,176.704,,dummy_step
2026-08-31T14:23:07.621560+00:00,65.579,0.1146,0.8,0.0,-0.0895,0.0588,5150,3,171.773,,dummy_step
2026-08-31T14:23:07.621573+00:00,68.79,-0.0742,0.8,0.0,0.2786,0.0548,4110,3,180.01,,dummy_step
2026-08-31T14:23:07.621586+00:00,55.124,0.078,0.8,0.0,-0.0107,0.0611,4215,3,177.255,,dummy_step
2026-08-31T14:23:07.621599+00:00,69.712,0.1401,0.8,0.0,-0.3163,-0.0152,4534,3,179.3,,dummy_step
2026-08-31T14:23:07.621611+00:00,58.117,0.1172,0.8,0.0,-0.2174,0.0072,4725,3,171.646,,dummy_step
2026-08-31T14:23:07.621624+00:00,65.618,-0.0188,0.8,0.0,-0.016,-0.0226,4283,3,173.702,,dummy_step
2026-08-31T14:23:07.621636+00:00,60.806,-0.1257,0.8,0.0,0.1249,-0.0532,4727,3,171.809,,dummy_step
2026-08-31T14:23:07.621648+00:00,59.605,-0.0117,0.8,0.0,-0.108,-0.0553,4886,3,169.028,,dummy_step
2026-08-31T14:23:07.621660+00:00,58.953,0.1805,0.8,0.0,-0.3118,0.0207,4624,3,168.927,,dummy_step
2026-08-31T14:23:07.621672+00:00,54.939,0.0126,0.8,0.0,0.0207,0.0194,4603,3,163.599,,dummy_step
2026-08-31T14:23:07.621684+00:00,69.962,0.0182,0.8,0.0,0.0528,0.0376,4192,3,170.374,,dummy_step
2026-08-31T14:23:07.621697+00:00,56.236,0.0134,0.8,0.0,0.0572,0.0354,4584,3,171.957,,dummy_step
2026-08-31T14:23:07.621709+00:00,68.763,-0.0804,0.8,0.0,0.1249,-0.0151,5079,3,160.677,,dummy_step
2026-08-31T14:23:07.621721+00:00,63.908,0.1066,0.8,0.0,-0.0739,0.0587,4708,3,167.118,,dummy_step
2026-08-31T14:23:07.621733+00:00,58.897,-0.0365,0.8,0.0,0.0489,-0.0102,4156,3,169.705,,dummy_step
2026-08-31T14:23:07.621745+00:00,59.592,-0.0768,0.8,0.0,0.0209,-0.0558,4784,3,164.102,,dummy_step
2026-08-31T14:23:07.621758+00:00,54.435,-0.0799,0.8,0.0,0.1175,-0.0178,4346,3,169.439,,dummy_step
2026-08-31T14:23:07.621770+00:00,67.692,0.1613,0.8,0.0,-0.262,0.0255,4090,3,162.977,,dummy_step
2026-08-31T14:23:07.621782+00:00,63.962,-0.1364,0.8,0.0,0.2749,0.0009,4165,3,160.144,,dummy_step
2026-08-31T14:23:07.621794+00:00,55.115,-0.0017,0.8,0.0,0.0788,0.0317,4274,3,160.38,,dummy_step
2026-08-31T14:23:07.621806+00:00,63.692,0.1389,0.8,0.0,-0.2989,-0.0089,5153,3,158.186,,dummy_step
2026-08-31T14:23:07.621818+00:00,58.665,0.0635,0.8,0.0,-0.042,0.0358,4067,3,156.211,,dummy_step
