timestamp,speed,steering,throttle,brake,track_position,angle,rpm,gear,track_sensor_center,lap_time,event
2026-08-05T01:58:46.709764+00:00,55.792,0.0731,0.8,0.0,-0.2838,-0.0688,4645,3,180.219,,dummy_step
2026-08-05T01:58:46.709780+00:00,67.288,-0.0106,0.8,0.0,0.063,0.0209,5107,3,174.967,,dummy_step
2026-08-05T01:58:46.709794+00:00,55.797,-0.12,0.8,0.0,0.1517,-0.0442,4887,3,170.149,,dummy_step
2026-08-05T01:58:46.709807+00:00,69.649,-0.098,0.8,0.0,0.3476,0.0758,4675,3,170.009,,dummy_step
2026-08-05T01:58:46.709820+00:00,62.535,0.142,0.8,0.0,-0.1798,0.0521,4479,3,183.096,,dummy_step
2026-08-05T01:58:46.709833+00:00,60.113,-0.0108,0.8,0.0,0.1697,0.074,5039,3,175.441,,dummy_step
2026-08-05T01:58:46.709846+00:00,64.862,0.0926,0.8,0.0,-0.1247,0.0302,4652,3,169.007,,dummy_step
2026-08-05T01:58:46.709859+00:00,66.369,0.1607,0.8,0.0,-0.2356,0.0429,4352,3,179.185,,dummy_step
2026-08-05T01:58:46.709871+00:00,60.793,-0.2051,0.8,0.0,0.3481,-0.031,5103,3,171.688,,dummy_step
2026-08-05T01:58:46.709884+00:00,64.676,0.1867,0.8,0.0,-0.2317,0.0708,4977,3,174.367,,dummy_step
2026-08-05T01:58:46.709897+00:00,65.263,0.1574,0.8,0.0,-0.3189,-0.002,4800,3,174.765,,dummy_step
2026-08-05T01:58:46.709909+00:00,68.699,0.0388,0.8,0.0,-0.1712,-0.0468,4563,3,172.08,,dummy_step
2026-08-05T01:58:46.709921+00:00,60.251,-0.0238,0.8,0.0,0.0375,-0.0051,4533,3,171.209,,dummy_step
2026-08-05T01:58:46.709934+00:00,59.212,0.1312,0.8,0.0,-0.3345,-0.036,4176,3,163.614,,dummy_step
2026-08-05T01:58:46.709947+00:00,69.706,-0.126,0.8,0.0,0.341,0.0444,5124,3,162.813,,dummy_step
2026-08-05T01:58:46.709959+00:00,56.974,0.0369,0.8,0.0,-0.028,0.023,4524,3,159.534,,dummy_step
2026-08-05T01:58:46.709972+00:00,67.327,-0.0113,0.8,0.0,-0.1308,-0.0767,5059,3,162.563,,dummy_step
2026-08-05T01:58:46.709984+00:00,54.766,0.046,0.8,0.0,-0.2228,-0.0655,4264,3,160.455,,dummy_step
2026-08-05T01:58:46.709997+00:00,66.996,0.217,0.8,0.0,-0.2931,0.0704,4078,3,168.097,,dummy_step
2026-08-05T01:58:46.710009+00:00,67.128,-0.0004,0.8,0.0,-0.0656,-0.0332,4889,3,160.441,,dummy_step
